Aali Pascha	1815
Bernardo Dovizio Bib(b)iena	4. Aug. 1470
Bibesco	1801
Bibiena	1657
Ernst Bibra	9. Juni 1806
Marie François Xavier Bichat	11. Nov. 1771
Gustav Bickell	7. Juli 1838
Bida	1813
Biddle	1615
Hermann Ignaz Bidermann	3. Aug. 1831
Aloys Eman. Biedermann	2. März 1819
Karl Biedermann	25. Sept. 1812
Woldemar Biedermann	5. März 1817
Edouard de Bièfve	4. Dez. 1809
Wilhelm Biela	19. März 1782
August Bielenstein	4. März 1826
Bienaimé	1795
Biener	1585
Otto Julius Bierbaum	28. Juni 1865
Eduard Biermann	26. Juni 1803
Gottlieb Biermann	13. Okt. 1824
Johann Christoph Biernatzki	17. Okt. 1795
Albert Bierstadt	7. Jan. 1830
Bièvre	1747
John Bigelow	25. Nov. 1817
Bignon	3. Jan. 1771
Bijns	1494
Bikélas	1835
Willem Bilderdijk	7. Sept. 1756
Paul Rudolph von Bilguer	21. Sept. 1815
Leon Bilinski	15. Juni 1846
Jean Nicolas, Billaud-Varennes	23. April 1756
Jean Baptiste Billot	15. Aug. 1828
Theodor Billroth	26. April 1829
Karl Binding	4. Juni 1841
Louis Binger	14. Okt. 1856
Otto Binswanger	14. Okt. 1852
Antoine Joseph Binterim	19. Sept. 1779
Karl Binz	1. Juli 1832
August Daniel von Binzer	30. Mai 1793
Felix Viktor Birch-Hirschfeld	2. Mai 1842
Charlotte Birch-Pfeiffer	23. Juni 1800
Isabella Bird	15. Okt. 1832
Robert Montgomery Bird	5. Febr. 1805
Birgittenorden	1302
Sigmund von Birken	5. Mai 1626
Antoine Birlinger	14. Jan. 1834
Biron	1562
Karl Bischof	4. Juni 1812
Karl Gustav Bischof	18. Jan. 1792
Joseph Eduard Konrad Bischoff	9. Aug. 1828
Theodor Ludwig Wilhelm von Bischoff	28. Okt. 1807
Johann Rudolf von Bischoffwerder	13. Nov. 1741
Wilhelm Bissen	13. Okt. 1798
Henriette von Bissing	31. Jan. 1798
Alexander Charles August Bisson	9. Aug. 1848
Karl Hermann Bitter	27. Febr. 1813
Rudolf von Bitter	8. Jan. 1846
Stephan von Bittó	22. Mai 1822
Albert Bitzius	4. Okt. 1797
Georges Bizet	25. Okt. 1838
Wissarion Grigorjewitsch Bjelínskij	11. Juni 1810
Björnstjerne Björnson	8. Dez. 1832
Karl von Blaas	28. April 1815
Black	1728
Black	1841
James Harry Blackburne	30. Dez. 1842
Blackie	Juli 1809
Richard Doddrige Blackmore	9. Juni 1825
Sir William Blackstone	10. Juli 1723
Blaeu	1571
James Gillespie Blaine	31. Jan. 1830
Blake	1599
Blake	28. Nov. 1757
Louis Blanc	29. Okt. 1811
Blanca	1187
Edward Leman Blanchard	11. Dez. 1820
Blanchard	1738
August Theodor Blanche	17. Sept. 1811
Moritz Blanckarts	16. April 1839
Karl Henning Moritz von Blanckenburg	25. Mai 1815
Jérôme Adolphe Blanqui	21. Nov. 1798
Gustav Bläser	9. Mai 1813
Friedrich Blaß	22. Jan. 1843
Tina Blau	15. Nov. 1847
Ambrosius Blaurer	12. April 1492
Blavatsky	1831
Ange Henri Blaze de Bury	19. Mai 1813
Friedrich Bleek	4. Juli 1793
Georg Bleibtreu	27. März 1828
Emil Blenck	22. Dez. 1832
Charlotte Blennerhassett	19. Febr. 1843
Margaret Blessington	1. Sept. 1789
Ludwig Johann Urban Blesson	27. Mai 1790
Steen Steensen Blicher	11. Okt. 1782
Karl Blind	4. Sept. 1820
Bloch	1836
Karl Justus Blochmann	19. Febr. 1786
Moritz Block	18. Febr. 1816
Bloemaert	1564
Bloemen	1662
Gustav Blome	18. Mai 1829
Adolf Blomeyer	24. Febr. 1830
Charles Blondin	28. Febr. 1824
Robert Bloomfield	3. Dez. 1766
Gebhard Leberecht von Blücher	16. Dez. 1742
Dmitrij Nikolajewitsch Bludow	16. April 1785
Ernest Blum	15. Aug. 1836
Johann Reinhard Blum	28. Okt. 1802
Robert Blum	10. Nov. 1807
Aloys Blumauer	21. Dez. 1755
Wilhelm von Blume	10. Mai 1835
Johann Friedrich Blumenbach	11. Mai 1752
Franziska Blumenreich	2. April 1849
Leonhard Graf von Blumenthal	30. Juli 1810
Oskar Blumenthal	13. März 1852
Hugo Blümner	9. Aug. 1844
Johann Kaspar Bluntschli	7. März 1808
Viktor Blüthgen	4. Jan. 1844
Julius Blüthner	11. März 1824
Eduard Boas	18. Jan. 1815
Bobrzynski	1849
Boccaccio	1313
Franz Bock	3. Mai 1823
Karl Ernst Bock	21. Febr. 1809
Otto Böckel	2. Juli 1859
August Böckh	24. Nov. 1785
Arnold Böcklin	16. Okt. 1827
Florens Heinrich Gottfried von Bockum-Dolffs	19. Febr. 1802
Bocskay	1556
Johann Elert Bode	19. Jan. 1747
Johann Joachim Christoph Bode	16. Jan. 1730
Wilhelm Bode	10. Dez. 1845
Karl von Bodelschwingh	10. Dez. 1800
Bodenhausen	1852
Friedrich Bodenmüller	11. Aug. 1848
Friedrich von Bodenstedt	22. April 1819
Tonio Bödiker	5. Juni 1843
Heinrich Bodinus	29. Juli 1814
Luigi Bodio	12. Okt. 1840
Sir Thomas Bodley	2. März 1544
Georg Bodmer	6. Dez. 1786
Johann Jakob Bodmer	19. Juli 1698
Giambattista Bodoni	16. Febr. 1740
Bodt	1670
Hermann Boerhaave	31. Dez. 1668
Adrian Bogaers	6. Jan. 1795
Karl Heinrich von Bogatzky	7. Sept. 1690
Ippolit Fedorowitsch Bogdanówitsch	3. Jan. 1744
Erik Bögh	17. Jan. 1822
Bogiic	1840
Friederike Bognár	16. Febr. 1840
Nikolaj Pawlowitsch Bogoljepow	9. Dez. 1846
Alexis Bogoljúbow	26. März 1824
Bogoras	1864
Adalbert Boguslawski	4. Nov. 1760
Albert von Boguslawski	24. Dez. 1834
Helene Böhlau	22. Nov. 1859
Joseph Edgar Böhm	4. Juli 1834
Rudolf Boehm	19. Mai 1844
Böhme	1575
Eduard Böhmer	24. Mai 1827
Viktor Böhmert	23. Aug. 1829
Eugen Böhm von Bawerk	12. Febr. 1851
Johann Gottlieb Friedrich von Bohnenberger	5. Juni 1765
Ludwig Bohnstedt	27. Okt. 1822
Hans Bohrdt	11. Febr. 1857
Georg Friedrich Böhringer	28. Dez. 1812
Heinrich Christian Boie	19. Juli 1744
François Adrien Boieldieu	15. Dez. 1775
Nicolas Boileau-Despréaux	1. Nov. 1636
Boisserée	1783
Gaston Boissier	15. Aug. 1823
Arrigo Boito	24. Febr. 1842
Bol	1616
Boleyn	1507
Bolingbroke	1. Okt. 1678
Bolintineanu	1826
Simon Bolivar	24. Juli 1783
Franz Boll	26. Febr. 1849
Bollandisten	13. Aug. 1596
Otto Bollinger	2. April 1843
Bologna	1524
Wilhelm Bölsche	2. Jan. 1861
Bolswert	1580
Amely Bölte	6. Okt. 1811
Ludwig Boltzmann	20. Febr. 1844
Farkas Bólyai	5. Febr. 1775
Bernhard Bolzano	5. Okt. 1781
Alb. Bolze	13. Jan. 1834
Louis Gabriel Ambroise Bonald	2. Okt. 1754
Bonaparte	29. März 1746
Bonatelli	1830
Bonaventura	1221
Ruggero Bonghi	20. März 1828
Rosa Bonheur	22. Okt. 1822
Eduard von Bonin	7. März 1793
Gustav von Bonin	23. Nov. 1797
Hermann Bonitz	29. Juli 1814
Jean Bonnassieux	19. Sept. 1810
Emile Boisnormand de Bonnechose	18. Aug. 1801
Charles Bonnet	13. März 1720
Claude Alexandre Bonneval	14. Juli 1675
Bonnivard	1496
Aimé Bonpland	22. Aug. 1773
Karl Viktor von Bonstetten	3. Sept. 1745
Bontoux	1824
Bonvalot	Juli 1853
Booth	15. Nov. 1833
William Booth	10. April 1829
Franz Bopp	14. Sept. 1791
Katharina von Bora	29. Jan. 1499
Carsten Borchgrevink	1. Dez. 1864
Jean Charles Borda	4. Mai 1733
Bernard Borggreve	6. Juli 1836
Borghese	19. Juli 1775
Batolommeo Borghesi	11. Juli 1781
Borgia	1478
John Börjeson	30. Dez. 1835
Edwin Bormann	14. April 1851
Borne Max von dem	20. Dez. 1826
Ludwig Börne	6. Mai 1786
Wilhelm Bornemann	2. Febr. 1766
Konrad Bornhak	21. März 1861
Alexander Porfirjewitsch Borodín	12. Nov. 1834
Wilhelm Friedrich Otto Borries	30. Juli 1802
Carlo Borromeo	2. Okt. 1538
Borromini	1599
August Borsig	23. Juni 1804
Karl Heinrich Ludwig von Borstell	30. Dez. 1773
Bortnjanskij	1751
Hieronymus de Bosch	23. März 1740
Batolommeo Bosco	7. Jan. 1793
Julius Bose	12. Sept. 1809
Johann Böse	27. Dez. 1856
Paolo Boselli	18. Juni 1838
Ignaz Bösendorfer	28. Juli 1796
François Joseph Bosio	19. März 1769
Johannes Bosscha	18. Nov. 1831
Bosse	1611
Robert Bosse	12. Juli 1832
Luigi Bossi	28. Febr. 1758
Bossuet	27. Sept. 1627
Christoffer Jakob Boström	1. Jan. 1797
Erik Gustaf Boström	11. Febr. 1842
James Boswell	29. Okt. 1740
Botallo	1530
Heinrich Bötel	6. März 1854
Musikalienhandlung in Berlin Bote & Bock	25. Juni 1848
Both	1609
Botha	1864
Bothwell	1536
Carlo Botta	6. Nov. 1766
Christian Eduard Böttcher	9. Dez. 1818
Bòttego	1861
Adolf Böttger	21. Mai 1815
Böttger	4. Febr. 1682
Rudolph Christian Boettger	28. April 1806
Botticelli	1447
Karl Bötticher	29. Mai 1806
Karl Heinrich von Bötticher	6. Jan. 1833
Archäolog Böttiger	8. Juni 1760
Karl Wilhelm Böttiger	15. Mai 1807
Karl de Bouché	16. Juli 1845
François Boucher	29. Sept. 1703
Boucher de Crèvecoeur de Perthes	10. Sept. 1788
Dion Boucicault	26. Dez. 1822
Ami Boué	16. März 1794
Louis Edouard, Bouet-Willaumez	24. April 1808
Louis François Boufflers	10. Jan. 1644
Boufflers	1738
Louis Antoine de Bougainville	11. Nov. 1729
Pierre Bouguer	16. Febr. 1698
William Bouguereau	30. Nov. 1825
Francisque Bouillier	12. Juli 1813
Georges Ernest Jean M Boulanger	29. April 1837
Gustave Rodolphe Boulanger	25. April 1824
Louis Boulanger	11. März 1807
Boulay de la Meurthe	19. Febr. 1761
Boulle	1642
Matthew Boulton	3. Sept. 1728
Charles Denis Sauter Bourbaki	22. April 1816
Karl Bourbon	17. Febr. 1490
Karl Bourbon	22. Dez. 1520
Louis Bourdaloue	20. Aug. 1632
Léon Victor Auguste Bourgeois	29. Mai 1851
Paul Bourget	2. Sept. 1852
Bourguignon	1621
Friedrich Bouterwek	15. April 1766
William Lisle Bowles	24. Sept. 1762
Sir William Bowman	26. Juli 1816
Sir John Bowring	17. Okt. 1792
Ida Boy-Ed	17. April 1852
Hermann von Boyen	23. Juni 1771
Jean Pierre Boyer	28. Febr. 1776
Hjalmar Hjörth Boyesen	23. Sept. 1848
Richard Boyle	3. Okt. 1566
Hugo Franz Brachelli	11. Febr. 1834
Luise Karoline Brachmann	9. Febr. 1777
Eugen Bracht	3. Juni 1842
Emil Brachvogel	29. April 1824
Brachvogel	1835
Ferdinande Brackel	24. Nov. 1835
Braddon	1837
Charles Bradlaugh	26. Sept. 1833
Bradley	1827
Bradley	März 1692
Bradstreet	1612
Bradwardin(e)	1290
Joaquim Theophilo Fernandes Braga	24. Febr. 1843
Familie Brahe	18. Febr. 1602
Otto Brahm	5. Febr. 1856
Brahmosomadsch	1774
Johannes Brahms	7. Mai 1833
Braid	1795
Brailleschrift	1806
Anton Braith	2. Sept. 1836
Brakel	1618
Joseph Bramah	13. April 1749
Fritz Gustav von Bramann	25. Sept. 1854
Wilhelm Branco	9. Sept. 1844
Friedrich Wilhelm Brandenburg	24. Jan. 1792
Georg Brandes	4. Febr. 1842
Christian August Brandis	13. Febr. 1790
Alois Brandl	21. Juli 1855
Albert Brandt	3. Sept. 1846
Joseph von Brandt	11. Febr. 1841
Karl Brandt	15. Juni 1828
Marianne Brandt	12. Sept. 1842
Max von Brandt	8. Okt. 1835
Thure Brandt	6. Febr. 1819
Brant	1458
Brasseur de Bourbourg	8. Sept. 1814
Thomas Brassey	11. Febr. 1836
Bratianu	1822
Arthur Brauer	17. Nov. 1845
Wilhelm Braumüller	19. März 1807
Alexander Braun	10. Mai 1805
Karl Braun	20. März 1822
Karl Ferdinand Braun	6. Juni 1850
Kaspar Braun	13. Aug. 1807
Louis Braun	23. Sept. 1836
Christian Wilhelm Braune	17. Juli 1831
Wilhelm Braune	20. Febr. 1850
Braun & Schneider	1. Okt. 1815
Otto Brausewetter	11. Sept. 1835
Joachim Wilhelm von Brawe	4. Febr. 1738
Anna Eliza Bray	25. Dez. 1790
Otto Camillus Hugo Bray-Steinburg	17. Mai 1807
Brazza	26. Jan. 1852
Michel Bréal	26. März 1832
Karl Fredrik von Breda	16. Aug. 1759
Christiane Breden	6. März 1844
Gerbrand Adriaenszoon Bredero	16. März 1585
Adalbert von Bredow	24. Mai 1814
Mattheus van Brée	22. Febr. 1773
Ludwig Brefeld	31. März 1837
Oskar Brefeld	19. Aug. 1839
Christian Ludwig Brehm	24. Jan. 1787
Hermann Brehmer	14. Aug. 1826
Johann August Friedrich Breithaupt	18. Mai 1791
Johann Christian Breithaupt	23. Juni 1736
Johann Jakob Breitinger	1. März 1701
Breitkopf & Härtel	1695
Wilhelm August von Breitling	4. Jan. 1835
Fredrika Bremer	17. Aug. 1801
Richard Brend'amour	16. Okt. 1831
Brenkenhof	1723
Richard Brenner	20. Juni 1833
Franz von Brentano	16. Jan. 1838
Klemens Brentano	8. Sept. 1778
Lujo Brentano	18. Dez. 1844
Johann Brenz	24. Juni 1499
Johann Leopold Ludwig von Brese-Winiary	9. Sept. 1787
Harry Breßlau	22. März 1848
Rudolf Brestel	16. Mai 1816
Jules Breton	1. Mai 1827
Don Manuel Breton de los Herreros	19. Dez. 1796
Heinrich Gottfried von Bretschneider	6. März 1739
Peter Breuer	18. Mai 1856
Arthur Breusing	18. März 1818
Sir David Brewster	11. Dez. 1781
Henri Alexis Brialmont	25. Mai 1821
Bridgewater	11. Nov. 1756
Bridgman	1847
Theodor Brieger	4. Juni 1842
Benjamin Brierley	26. Juni 1826
Briggius	1556
John Bright	16. Nov. 1811
Brightsche Krankheit	1788
Bril	1550
Anthelme Brillat-Savarin	1. April 1755
Brin	1833
John Brinckmann	3. Juli 1817
Bernhard ten Brink	12. Jan. 1841
Jan ten Brink	15. Juni 1834
Daniel Garrison Brinton	13. Mai 1837
Brion	19. April 1752
Eugène Henri Brisson	31. Juli 1835
Paul Broca	28. Juni 1824
Ole Jakob Broch	14. Jan. 1818
Barthold Heinrich Brockes	22. Sept. 1680
Brockhaus	4. Mai 1772
Heinrich Brockhaus	3. März 1858
Hermann Brockhaus	28. Jan. 1806
William St. John Brodrick	14. Dez. 1856
Kazimierz Brodzinski	8. März 1791
Brodzki	1825
Angelo Brofferio	6. Dez. 1802
Broglie	11. Jan. 1671
Max Broemel	7. Juni 1846
Karl Rudolph Bromme	10. Sept. 1804
Alexandre Brongniart	5. Febr. 1770
Heinrich Georg Bronn	3. März 1800
Paul Bronsart von Schellendorf	25. Jan. 1832
Charlotte Brontë	21. April 1816
Sir James Brooke	29. April 1803
Johann K. Christian Brosböll	7. Aug. 1816
Moritz Brosch	7. April 1829
Charles de Brouckère	18. Jan. 1796
Henry Brougham and Vaux	19. Sept. 1778
Rhoda Broughton	29. Nov. 1840
François Joseph Victor Broussais	17. Dez. 1772
Brouwer	1606
Ford Madox Brown	16. April 1821
George Loring Brown	2. Febr. 1814
Brown	1735
Brown	1549
Robert Brown	21. Dez. 1773
Thomas Brown	9. Jan. 1778
Charles Farrar Browne	23. April 1834
Browne	15. Juni 1698
Maxim. Ulysses Browne	23. Okt. 1705
Sir Thomas Browne	19. Okt. 1605
Robert Browning	7. Mai 1812
Brown-Séquard	1818
Wenzel von Brozik	5. März 1851
Bruce	1274
James Bruce	14. Dez. 1730
Max Bruch	6. Jan. 1838
Karl Ludwig Bruck	18. Okt. 1798
Brück	1483
Heinrich Brück	25. Okt. 1831
Ernst Wilhelm Brücke	6. Juni 1819
Bruckmann	1814
Anton Bruckner	4. Sept. 1824
Alexander Brückner	5. Aug. 1834
Alexander Brückner	26. Jan. 1856
Benno Bruno Brückner	9. Mai 1824
Brüder des gemeinsamen Lebens	1350
Henri Joseph Brugère	27. Juni 1841
Heinrich Karl Brugsch	18. Febr. 1827
Brühl	13. Aug. 1700
Karl Christian Bruhns	22. Nov. 1830
Ignaz Brüll	7. Nov. 1846
Karl Pawlowitsch Brüllow	7. Dez. 1799
Friederike Brun	3. Juni 1765
Richard Franz Philipp Brunck	30. Dez. 1729
Guillaume Marie Anne Brune	13. März 1763
Sir Marc Isambard Brunel	25. April 1769
Brunelleschi	1379
Jacques Charles Brunet	2. Nov. 1780
Ferdinand Brunetière	19. Juli 1849
Heinrich Brunn	23. Jan. 1822
Heinrich Brunner	21. Juni 1840
Sebastian Brunner	10. Dez. 1814
Franz Friedrich Ernst Brünnow	18. Nov. 1821
Bruno	1548
Ludwig Brunow	9. Juli 1843
Heinrich Bruns	4. Sept. 1848
Ferdinand Brütt	13. Juli 1849
Bruyn	1493
William Jennings Bryan	19. März 1860
William Cullen Bryant	3. Nov. 1794
James Bryce	10. Mai 1838
Adolf Bube	23. Sept. 1802
Martin Bucer	11. Nov. 1491
Leopold von Buch	26. April 1774
Alexander Buchan	11. April 1829
James Buchanan	22. April 1791
Robert Buchanan	18. Aug. 1841
Eduard Büchel	22. April 1835
Franz Bücheler	3. Juni 1837
Adolf Buchenberger	18. Mai 1848
Lothar Bucher	25. Okt. 1817
Karl Bücher	16. Febr. 1847
Philipp Benjamin Joseph Buchez	31. März 1796
Gerhard von Buchka	22. Dez. 1851
Georg Büchmann	4. Jan. 1822
Hans Buchner	16. Dez. 1850
Max Buchner	25. April 1846
Georg Büchner	17. Okt. 1813
Wilhelm Büchsel	12. April 1848
Richard Buchta	19. Jan. 1845
Buckingham	20. Aug. 1592
Buckland	12. März 1784
Henry Thomas Buckle	24. Nov. 1821
John Baldwin Buckstone	18. Sept. 1802
Budäus	1467
Hermann von Budde	15. Nov. 1851
Max Büdinger	1. April 1828
Charlotte Buff	11. Jan. 1753
Heinrich Buff	23. Mai 1805
Louis Joseph Buffet	26. Okt. 1818
George Louis Leclerc Buffon	7. Sept. 1707
Bugeaud	15. Okt. 1784
Johann Bugenhagen	24. Juni 1485
Elseus Sophus Bugge	5. Jan. 1833
Johann Georg Bühler	19. Juli 1837
Ferdinand Edouard Buisson	20. Dez. 1841
Friedrich Bülau	8. Okt. 1805
Demetrius Bulgaris	13. Jan. 1803
Ole Bull	5. Febr. 1810
Konstantin Bulle	30. März 1844
Buller	1839
Heinrich Bullinger	18. Juli 1504
August von Bulmerincq	12. Aug. 1822
Babette von Bülow	30. Sept. 1850
Bernhard Ernst von Bülow	2. Aug. 1815
Bernhard Bülow	3. Mai 1849
Bülow	1757
Friedrich Wilhelm Bülow	16. Febr. 1755
Hans von Bülow	8. Jan. 1830
Heinrich Bülow	16. Sept. 1792
Ludwig Friedrich Viktor Hans Bülow	14. Juli 1774
Margarete von Bülow	23. Febr. 1860
Heinrich Bulthaupt	26. Okt. 1849
Sir Edward George Earle B. Lytton Bulwer	25. Mai 1803
Heinrich Bünau	2. Juni 1697
Alexander von Bunge	6. Okt. 1803
Nik. von Bunge	23. Nov. 1823
Rudolf Bunge	27. März 1836
August Bungert	14. März 1846
Christian Karl Josias Bunsen	25. Aug. 1791
Robert Bunsen	31. März 1811
John Bunyan	28. Nov. 1628
Karl Ferdinand Buol-Schauenstein	17. Mai 1797
Buontalénti	1536
Buonvicino	1498
Max Eugen Burckhard	14. Juli 1854
Jakob Burckhardt	25. Mai 1818
Johann Ludwig Burckhardt	24. Nov. 1784
Karl Friedrich Burdach	12. Juni 1776
Konrad Burdach	29. Mai 1859
Auguste Laurent Burdeau	10. Sept. 1851
Jenny Bürde-Ney	21. Dez. 1824
Martin van Buren	5. Dez. 1782
Johann Burger	31. Mai 1829
Gottfried August Bürger	31. Dez. 1747
Burgkmair	1473
Burgoyne	1722
Daniel Burgschmiet	11. Okt. 1796
Burke	Jan. 1729
Burke	1821
Heinrich Bürkel	29. Mai 1802
Albert Bürklin	20. Juni 1844
Hugo Bürkner	24. Aug. 1818
William Cecil, Burleigh	13. Sept. 1520
Peter Burman	6. Juli 1668
Hermann Burmeister	15. Jan. 1807
Willy Burmester	16. März 1869
Burnand	1850
Sir Edward Burne-Jones	22. Aug. 1833
Burnell	1840
Gilbert Burnet	18. Sept. 1643
Frances Eliza Hodgson Burnett	24. Nov. 1849
Frances Burney	13. Juni 1752
Eugène Burnouf	12. Aug. 1801
Burns	1858
Robert Burns	25. Jan. 1759
Ambrose Everett Burnside	23. Mai 1824
Burritt	8. Dez. 1810
Konrad Bursian	14. Nov. 1830
Elisabeth Bürstenbinder	25. Nov. 1838
Sir Richard Francis Burton	19. März 1821
Charlotte Suzanne Marie Bury	28. Jan. 1775
Busbecq	1522
Moritz Busch	13. Febr. 1821
Wilhelm Busch	15. April 1832
Wilhelm Busch	18. Febr. 1861
Busche	1468
Antoine Friedrich Büsching	27. Sept. 1724
Busembaum	1600
Carl Busley	7. Okt. 1850
Georg Busolt	13. Nov. 1850
Ferruccio Benvenuto Busoni	1. April 1866
Karl Busse	12. Nov. 1872
Ludwig Bußler	26. Nov. 1838
Roger Bussy-Rabutin	18. April 1618
Anastasio Bustamente	27. Juli 1780
John Stuart Bute	25. Mai 1713
Benjamin Franklin Butler	5. Nov. 1818
Samuel Butler	3. Febr. 1612
Otto Bütschli	3. Mai 1848
Philipp Karl Buttmann	5. Dez. 1764
Karl Gotthilf Büttner	24. Dez. 1848
Buturlín	1704
Johann Buxtorf	25. Dez. 1564
Christoph Buys-Ballot	10. Okt. 1817
Artur Bylandt-Rheydt	5. Mai 1821
George Byng	27. Jan. 1663
Byrd	1538
Justus Byrgius	28. Febr. 1552
Byrne	1819
George Noël Gordon Byron	22. Jan. 1788
Byron	1834
Johann Nik. Byström	18. Dez. 1783
Caballero	9. Dez. 1770
Alexandre Cabanel	28. Sept. 1823
Jean Cabanis	8. März 1816
Cabat	24. Dez. 1812
Etienne Cabet	1. Jan. 1788
Caboto	1472
Don Ramon Cabrera	31. Aug. 1810
Andrés Avelino Cáceres	12. April 1831
George Henry Cadogan	12. Mai 1840
Edouard Cadol	11. Febr. 1831
Carlo Cadorna	8. Dez. 1809
Georges Cadoudal	1. Jan. 1771
Michelangelo Caëtani	20. März 1804
Alexander Cagliostro	8. Juni 1743
Cailletet	1832
Frédéric Cailliaud	9. Juni 1787
Auguste Nicolas Caïn	16. Nov. 1822
Thomas Henry Hall Caine	14. Mai 1853
Benedetto Cairoli	28. Jan. 1825
Cajetan	1480
Cajetanus	20. Febr. 1469
Luigi Calamatta	12. Juni 1802
Alexandre Calame	28. Mai 1810
Alexander Calandrelli	9. Mai 1834
Jean Calas	19. März 1698
Leopoldo Marc-Antonio Caldani	21. Nov. 1725
Caldara	1678
Don Pedro C. de la Barca Calderon	17. Jan. 1600
Philippe Calderon	3. Mai 1833
John Caldwell Calhoun	18. März 1782
Georg Calixtus	14. Dez. 1586
Sir Augustus Wall Callcott	20. Febr. 1779
Callot	1592
Charles Alexandre de Calonne	20. Jan. 1734
Abraham Calov	16. April 1612
Johann Calvin	10. Juli 1509
Sethus Calvisius	20. Febr. 1556
Carlos Calvo	26. Febr. 1824
Jean Jacques Régis Cambacérès	18. Okt. 1753
Cambert	1628
Adolphus Frederick Cambridge	24. Febr. 1774
Pierre Jacques Etienne Cambronne	26. Dez. 1770
William Camden	2. Mai 1551
Joachim Camerarius	12. April 1500
Verney Lovett Cameron	1. Juli 1844
Camões	1524
Jeanne Louise Henriette Campan	6. Nov. 1752
Thomas Campanélla	5. Nov. 1568
Sir Colin Campbell	20. Okt. 1792
John Campbell	15. Sept. 1779
Thomas Campbell	27. Juli 1777
William Wallace Campbell	11. April 1862
Sir He Campbell-Bannerman	7. Sept. 1836
Joachim Heinrich Campe	29. Juni 1746
Petrus Camper	11. Mai 1722
Ludolf Camphausen	3. Jan. 1803
Campoamor	1817
Pedro Rodriguez Campomanes	1. Juli 1723
Canaletto	18. Okt. 1697
Georg Cancrin	8. Dez. 1774
Don Manuel Cañete	6. Aug. 1822
Felice Napoleone Canevaro	7. Juli 1838
Luigi Canina	23. Okt. 1795
Petrus Canisius	8. Mai 1521
Friedrich Rudolph Ludwig Canitz	27. Nov. 1654
Karl Ernst Wilhelm Canitz und Dallwitz	17. Nov. 1787
Johann Günther Friedrich Cannabich	12. April 1777
George Canning	11. April 1770
Stanislao Cannizzaro	16. Juli 1826
Tommaso Cannizzaro	17. Aug. 1838
Canon	13. März 1829
Antonio Canova	1. Nov. 1757
Don Antonio Cánovas del Castillo	8. Febr. 1828
François Certain de Canrobert	27. Juni 1809
Hildebrand Canstein	4. Aug. 1667
Cantoni	Nov. 1840
Georg Cantor	3. März 1845
Moritz Benedikt Cantor	23. Aug. 1829
Cesare Cantù	8. Dez. 1807
Alfonso Capecelatro	5. Febr. 1824
Giovanni Capellini	23. Aug. 1833
Edward Capern	29. Jan. 1819
Johs. Capistranus	24. Juni 1386
Capito	1478
Gino Capponi	14. Sept. 1792
Caprivi	24. Febr. 1831
Luigi Capuana	27. Mai 1839
Caravaggio	1569
Giulio Carcano	7. Aug. 1812
Geronimo Cardano	24. Sept. 1501
Georg Cardinal von Widdern	12. April 1841
Giosué Carducci	27. Juli 1836
Edward Cardwell	24. Juli 1813
Marie Antoine Carême	8. Juni 1784
Carey	15. Dez. 1793
Emilia Carlén	8. Aug. 1807
Carleton	1794
Frederick Howard Carlisle	28. Mai 1748
Carlos	8. Juli 1545
Don Carlos	29. März 1788
Carlowitz	11. Dez. 1772
Fredrik Ferdinand Carlson	13. Juni 1811
Thomas Carlyle	4. Dez. 1795
Carmagnola	1390
Johann Heinrich Kasimir Carmer	29. Dez. 1721
Louis Carrogis Carmontelle	15. Aug. 1717
Rudolph von Carnall	9. Febr. 1804
Henry Howard Molyneux He Carnarvon	24. Juni 1831
Andrew Carnegie	25. Nov. 1837
Lazare Carnot	13. Mai 1753
Jakob Caro	2. Febr. 1836
Petrache Carp	29. Juni 1837
Jean Baptiste Carpeaux	11. Mai 1827
William Benjamin Carpenter	29. Okt. 1813
Benedikt Carpzov	27. Mai 1595
Carracci	1555
Nicolas Armand Carrel	8. Mai 1800
Teresa Carreño	22. Dez. 1853
Luigi Carrer	12. Febr. 1801
Valentino Carrera	19. Dez. 1834
Carrier	1756
Rosalba Carriera	7. Okt. 1675
Moritz Carriere	5. März 1817
Richard Christopher Carrington	26. Mai 1826
Asmus Carstens	10. Mai 1754
Pierre Cartellier	2. Dez. 1757
Cartier	1491
Edmund Cartwright	24. April 1743
Julius Viktor Carus	25. Aug. 1823
Karl Gustav Carus	3. Jan. 1789
Domenico Carutti di Cantogno	26. Nov. 1821
Casa	28. Juni 1503
Giovanni Jacopo de Seingalt Casanova	2. April. 1725
Casati	1838
Isaak de Casaubon	18. Febr. 1559
Jean Paul Pierre Casimir-Perier	8. Nov. 1847
